List	ID	Language	Variety	AoA	Years	Proficiency
108	sl2165	Japanese		0	19.0	native
109	sl2166	Portuguese		0	23.0	native
109	sl2166	French		16	7.0	intermediate
110	jl2167	Japanese		0	19.0	native
111	jl2168	Japanese		0	19.0	native
112	jl2170	Japanese		0	20.0	native
112	jl2170	Spanish		20	1.0	beginner
113	sl2171	Catalan	Spain	0	24.0	native
113	sl2171	Spanish	Spain	0	24.0	native
114	jl2172	Japanese		0	19.0	native
115	cl2173	Chinese	Mandarin	0	29.0	native
116	sl2174	Spanish	Venezuela	0	26.0	native
117	cl2175	Chinese	Mandarin	0	27.0	native
117	cl2175	Japanese		18	9.0	intermediate
118	cl2176	Chinese	Mandarin	0	26.0	native
120	cl2179	Chinese	Mandarin	0	23.0	native
121	l192	Italian		16	4.0	intermediate
121	l192	Spanish		12	5.0	intermediate
121	l192	Hebrew		8	5.0	beginner
122	l193	Spanish		11	9.0	advanced
122	l193	Urdu		0	20.0	advanced
123	sl2265	Spanish		0	45.0	native
123	sl2265	Portuguese		30	15.0	beginner
124	pl2255	Portuguese		0	18.0	native
125	l196	Spanish		7	7.0	intermediate
126	l197	French		11	4.0	intermediate
127	l198	Lao		25	8.0	intermediate
127	l198	Spanish		12	4.0	beginner
127	l198	Thai		24	9.0	beginner
128	l199					
129	l1100	Spanish		13	22.0	advanced
129	l1100	French		11	3.0	intermediate
129	l1100	Arabic		1	4.0	beginner
129	l1100	Portuguese		21	12.0	beginner
130	l1101	Japanese		0	18.0	advanced
131	l1102	Spanish		14	7.0	intermediate
132	l1104	Spanish		6	10.0	advanced
133	sl2181	Spanish	Mexico	0	29.0	native
133	sl2181	French		0	10.0	advanced
133	sl2181	Italian		20	5.0	advanced
133	sl2181	Dutch		28	1.0	beginner
133	sl2181	German		23	1.0	beginner
133	sl2181	Greek		25	1.0	beginner
134	l1105	Spanish		14	11.0	advanced
135	l1106	French		12	4.0	beginner
135	l1106	Spanish		18	15.0	beginner
136	l1107	French		5	11.0	intermediate
137	l1108	Chinese	Mandarin	0	19.0	intermediate
137	l1108	French		14	4.0	beginner
138	l1110	Chinese	Mandarin	15	4.0	beginner
138	l1110	Spanish	Honduras	14	3.0	beginner
139	l1111	Spanish		12	15.0	intermediate
140	cl2182	Chinese	Mandarin	0	22.0	native
141	sl2183	Spanish	Peru	0	19.0	native
142	pl2184	Portuguese	Brazil	0	29.0	native
142	pl2184	French		28	1.0	beginner
143	jl2185	Japanese		0	40.0	native
143	jl2185	Spanish		40	1.0	beginner
144	sl2186	Spanish	Spain	0	53.0	native
144	sl2186	French		7	8.0	advanced
144	sl2186	German		19	3.0	intermediate
144	sl2186	Italian		33	2.0	intermediate
144	sl2186	Portuguese		36	1.0	beginner
145	jl2187	Japanese		0	37.0	native
146	sl2188	Spanish		0	44.0	native
146	sl2188	French		25	5.0	intermediate
147	jl2191	Japanese		0	34.0	native
148	sl2259	Spanish	Spain	0	30.0	native
148	sl2259	German		26	3.0	intermediate
149	pl2194	Portuguese	Brazil	0	25.0	native
150	pl2195	Portuguese	Brazil	0	30.0	native
150	pl2195	Spanish		29	1.0	beginner
151	pl2196	Portuguese	Brazil	0	25.0	native
152	pl2197	Portuguese	Portugal	0	36.0	native
152	pl2197	Spanish		16	10.0	beginner
153	pl2198	Portuguese	Brazil	0	46.0	native
153	pl2198	Spanish		18	15.0	intermediate
153	pl2198	French		14	10.0	beginner
154	cl2200	Chinese	Mandarin	2	28.0	native
154	cl2200	Swedish		25	2.0	beginner
155	jl2254	Japanese		0	23.0	native
156	sl2256	Spanish		0	28.0	native
157	pl2204	Portuguese	Portugal	0	35.0	native
157	pl2204	Spanish		25	1.0	intermediate
157	pl2204	French		12	2.0	beginner
158	sl2205	Spanish		2	28.0	native
159	cl2206	Chinese	Mandarin	0	23.0	native
160	jl2208	Japanese		0	58.0	native
160	jl2208	Chinese		30	1.0	beginner
161	pl2209	Portuguese	Brazil	0	29.0	native
162	jl2210	Japanese		0	21.0	native
163	jl2211	Japanese		0	21.0	native
164	pl2214	Portuguese	Brazil	0	28.0	native
164	pl2214	Spanish		16	2.0	intermediate
165	pl2215	Portuguese	Brazil	0	49.0	native
165	pl2215	Spanish		36	12.0	intermediate
166	cl2218	Chinese	Mandarin	0	27.0	native
167	jl2219	Japanese		0	21.0	native
168	jl2220	Japanese		0	19.0	native
169	jl2257	Japanese		0	21.0	native
170	jl2223	Japanese		0	21.0	native
171	jl2224	Japanese		0	21.0	native
172	jl2260	Japanese		0	20.0	native
173	cl2226	Chinese		3	30.0	native
174	jl2227	Japanese		13	1.0	native
175	jl2228	Japanese		0	21.0	native
176	sl2229	Spanish	Colombia	0	29.0	native
176	sl2229	French		21	1.0	beginner
177	sl2230	Spanish		0	28.0	native
177	sl2230	Italian		22	1.0	beginner
178	jl2231	Japanese		0	21.0	native
179	jl2232	Japanese		0	23.0	native
180	jl2234	Japanese		0	25.0	native
181	jl2235	Japanese		0	32.0	native
182	pl2236	Portuguese		0	24.0	native
182	pl2236	Spanish		15	1.0	beginner
183	pl2237	Portuguese		0	29.0	native
183	pl2237	Italian		15	10.0	advanced
184	pl2238	Portuguese	Brazil	0	26.0	native
184	pl2238	Spanish		16	1.0	beginner
185	185l2267	Spanish	Mexico	0	28.0	native
186	186l2268	Spanish	Mexico	0	24.0	native
187	187l2269	Spanish		0	34.0	native
187	187l2269	Spanish Sign Language		32	2.0	beginner
189	189l2271	Catalan	Spain	3	21.0	native
189	189l2271	Spanish	Spain	4	20.0	advanced
190	190l2272	Arabic	United Arab Emirates	0	20.0	native
190	190l2272	Arabic	Egypt	0	20.0	native
191	191l2273	Chinese	Mandarin	0	23.0	native
191	191l2273	Chinese	Cantonese	0	23.0	native
192	192l2274	Chinese	Mandarin	0	24.0	native
193	193l2275	Spanish	Mexico	0	26.0	native
194	194l2276	Spanish	Colombia	1	23.0	native
195	195l2277	Spanish		0	23.0	native
195	195l2277	French		21	1.0	beginner
197	196l2278	Spanish		0	24.0	native
199	199l2280	Spanish	Colombia	0	38.0	native
199	199l2280	French		22	2.0	beginner
200	200l2281	Spanish	Colombia	1	27.0	native
202	202l2283	Chinese	Mandarin	0	33.0	native
204	204l2285	Chinese	Mandarin	0	37.0	native
204	204l2285	Japanese		21	2.0	beginner
205	205l2286	Spanish		0	30.0	native
206	206l2287	Spanish		0	26.0	native
206	206l2287	Portuguese	Venezuela	18	4.0	intermediate
207	207l2288	Arabic	Tunisia	0	23.0	native
207	207l2288	French	France	8	15.0	advanced
207	207l2288	German	Germany	16	7.0	intermediate
208	208l2289	Japanese		0	38.0	native
209	209l2290	Arabic		10	4.0	native
210	210l2291	Chinese	Mandarin	0	21.0	native
210	210l2291	Taiwanese	Taiwan	12	9.0	advanced
211	211l2292	Portuguese	Brazil	0	36.0	native
212	212l2293	Spanish		0	22.0	native
212	212l2293	French		13	4.0	beginner
213	213l2294	Chinese	Mandarin	8	14.0	native
213	213l2294	Tibetan		6	13.0	native
213	213l2294	Japanese		19	4.0	intermediate
214	214l2295	Arabic	Morocco	0	22.0	native
214	214l2295	French	Morocco	0	22.0	native
214	214l2295	German	Germany	20	1.0	beginner
215	215l2296	Portuguese	Brazil	0	28.0	native
216	216l2297	Chinese	Mandarin	0	23.0	native
216	216l2297	Taiwanese	Taiwan	20	3.0	intermediate
217	217l2298	Arabic	Syria	8	1.0	native
218	218l2299	Japanese		0	29.0	native
219	219l2300	Japanese		0	28.0	native
